name_of_player ,surname,id_position ,id_team ,nationality_p ,date_of_birth_player 
Findley,Terlinden,5,7,Ukraine,1998-11-15
Matthieu,Cownden,5,35,Poland,1988-01-01
Rod,Tomblett,11,26,Sweden,2001-08-18
Brewer,Lowes,6,26,Sweden,2005-01-04
Yule,Marlowe,12,19,Ukraine,1997-03-17
Stanislaw,Wayvill,13,3,Poland,1994-03-22
Dane,Dobeson,2,33,France,2002-06-22
Ethan,Lejeune,1,31,France,1982-11-27
Berty,Beckerleg,12,4,France,1986-09-26
Hayes,Dommersen,2,29,France,1985-04-08
Antony,Sisland,11,8,Ukraine,1999-05-12
Fletcher,Hollow,7,22,Ukraine,1986-01-30
Robin,Iczokvitz,7,22,Poland,1993-09-21
Alastair,Scandrick,7,38,Sweden,2001-10-22
Kaleb,Drewry,12,19,Poland,1989-08-20
Jude,Samways,11,38,Poland,1998-06-26
Abdul,Berzons,8,26,France,2004-01-23
Goddard,Eagland,2,28,France,1982-01-27
Carney,Colvill,6,11,Ukraine,1995-03-09
Willi,Flux,1,24,Poland,2003-07-07
Jakie,Bolgar,10,4,Poland,1990-08-22
Wilmer,Percival,8,18,Poland,1998-02-17
Reece,Sills,10,14,France,1985-07-30
Russ,Raimbauld,5,8,France,1987-05-18
Pancho,Boswood,1,8,Sweden,2000-09-15
Austen,Boldt,7,29,Sweden,1993-07-13
Wait,Ellerker,1,26,France,2003-11-18
Leroi,Walburn,5,18,Poland,2001-11-07
Vick,Schumacher,11,15,France,2000-10-27
Thornie,Ballance,11,37,France,1992-10-02
Benedict,Kemetz,2,30,Ukraine,1984-08-18
Nicolas,Shambroke,2,30,Ukraine,1986-07-14
Xerxes,Ivashkin,10,2,Sweden,1981-02-11
Alistair,Alsina,2,10,Poland,1991-02-25
Ezekiel,Harroll,11,36,France,2002-09-12
Adham,Trowell,13,27,Sweden,2001-10-10
Richie,Hourican,2,31,Germany,1996-05-15
Filbert,Gors,13,10,Sweden,1999-09-27
Jimmie,Syder,12,37,Sweden,1985-09-05
Cale,Lorenzetti,6,24,Ukraine,1978-05-08
Thorn,Fernan,11,5,Ukraine,1987-09-04
Danny,Rockhill,9,20,Poland,2001-03-21
Buddy,Schutter,10,11,Belgium,1995-09-29
Artus,Mathison,7,7,Sweden,1982-09-11
Chaddie,Shepland,9,6,Poland,2001-10-03
Bartholemy,Townson,1,27,Poland,2004-12-05
Cale,Scrauniage,8,19,Poland,1984-09-16
Clevie,Mariotte,12,29,Sweden,1985-03-16
Leopold,Coie,3,33,Sweden,1986-08-02
Garek,Dermot,11,10,Sweden,1999-02-11
Brit,Smithin,2,11,Sweden,1998-01-13
Elijah,Jonson,6,17,Ukraine,1999-10-02
Spense,Whyatt,2,13,Poland,1979-03-21
Fritz,Haitlie,7,25,Sweden,1985-05-09
Sibyl,Brogi,7,9,Sweden,2005-04-07
Skell,Collar,1,23,France,1979-01-29
Mac,Mesnard,8,7,Poland,1986-02-20
Cosimo,Popworth,13,33,Poland,1998-01-24
