name_of_player ,surname,id_position ,id_team ,nationality_p ,date_of_birth_player 
Dmitri,Fouracres,11,56,Ukraine,2007-01-25
Waldon,Cavnor,13,60,Ukraine,2006-12-28
Yulma,Tilbury,8,46,Ukraine,2005-07-16
Euell,Ortner,10,43,Ukraine,2005-10-18
Royce,Southern,12,47,Israel,2003-07-21
Wayne,Sainteau,10,58,Ukraine,2005-02-02
Karlik,McCrorie,12,69,Ukraine,2007-11-14
Pooh,Erat,13,53,Israel,2008-12-02
Massimo,Hurne,5,58,Germany,2007-04-25
Nat,Learoyde,7,61,Ukraine,2003-07-02
Mallory,Scolding,10,43,Ukraine,2003-05-23
Cleve,Dockwra,2,43,Ukraine,2004-01-22
Marcellus,Gilfether,7,56,Ukraine,2005-01-23
Boycey,Verey,1,65,Ukraine,2006-03-18
Milt,Guillem,7,59,Ukraine,2003-03-24
Moise,Ziemsen,5,47,Ukraine,2004-11-30
Merry,Gillion,5,48,Ukraine,2006-10-17
Caesar,Van der Kruijs,2,45,Ukraine,2004-05-19
Dal,McCallam,2,57,Ukraine,2006-08-12
Wit,Icke,3,54,Ukraine,2003-06-14
Reece,Bussetti,13,49,Ukraine,2004-03-30
Osbourne,Karolczyk,2,58,Ukraine,2006-12-17
Arvie,Planks,11,46,Germany,2007-01-30
Lorin,Yablsley,5,61,Germany,2003-02-18
Valle,Madsen,12,67,Israel,2005-02-01
Thom,Lingner,2,55,Ukraine,2007-11-19
Percival,Stringer,5,54,Ukraine,2006-12-10
Sylvester,Enochsson,13,46,Ukraine,2008-08-09
Timmy,Chatel,8,68,Ukraine,2005-04-05
Onofredo,Ferro,5,55,Ukraine,2003-11-18
Angel,MacLaig,6,63,Ukraine,2008-09-10
Paton,Cousins,9,46,Ukraine,2004-09-19
Gottfried,De Stoop,4,52,Ukraine,2005-12-05
Ulric,Tyrer,9,63,Germany,2007-06-05
Reynolds,Walster,5,61,Ukraine,2007-11-16
Staffard,Blakebrough,5,63,Ukraine,2006-12-27
Gabi,Kopps,5,55,Ukraine,2008-04-11
Husein,McRoberts,3,41,Ukraine,2004-10-15
Garvin,Nys,13,48,Ukraine,2003-05-01
Merrick,Junes,4,64,Ukraine,2004-09-14
Edsel,Hurch,3,58,Ukraine,2004-12-11
Branden,Featherstone,11,55,Israel,2007-03-18
Ara,McAuslene,3,46,Ukraine,2003-06-08
Burty,Bursell,11,66,Ukraine,2005-06-20
Saunderson,Kinner,3,48,Ukraine,2006-03-16
Kimble,Reddish,6,60,Ukraine,2008-11-21
Gardie,Turfin,4,55,Ukraine,2005-05-09
Gabriele,Kearns,3,64,Ukraine,2008-10-04
Giacopo,Wenzel,7,67,Israel,2008-08-11
Lorens,Baddam,12,61,Germany,2007-01-21
Turner,Brazener,13,45,Ukraine,2008-09-08
Bailey,Kuscha,11,63,Ukraine,2005-11-09
Keir,Scaife,8,66,Ukraine,2005-06-06
Gay,Braden,5,58,Ukraine,2006-03-11
Osbert,Tack,1,52,Ukraine,2005-08-18
Zaccaria,MacFarland,7,50,Ukraine,2004-08-02
Ethelred,Attersoll,3,60,Ukraine,2004-02-28
Demetris,Rutherfoord,2,55,Germany,2003-12-18
Stillmann,Mowle,11,57,Ukraine,2005-05-09
Delbert,McCormick,7,47,Germany,2003-05-22
Sheffield,Rawlin,12,63,Ukraine,2008-05-22
George,Torr,4,67,Israel,2007-01-31
Delmor,Ygou,12,60,Ukraine,2005-02-10
Broderick,Hinckley,7,61,Ukraine,2008-09-16
Ashton,Purcell,2,64,Ukraine,2007-07-16
Nickie,Meijer,5,43,Ukraine,2003-11-04
Josh,Drinkall,5,40,Ukraine,2004-02-18
Brnaby,Yegorovnin,2,56,Ukraine,2007-09-01
Vidovic,Marsden,2,57,Ukraine,2008-08-14
Ferrell,Marsay,8,49,Germany,2008-10-31
Halsy,Mossbee,6,53,Ukraine,2004-06-11
Mendy,McGavigan,2,48,Ukraine,2005-01-11
Spenser,Severs,1,44,Ukraine,2007-04-04
Brooke,Bowstead,12,59,Ukraine,2005-12-06
Chas,Wainman,3,51,Ukraine,2003-05-05
Tim,Garforth,5,44,Ukraine,2007-05-04
Mortimer,Clewes,1,40,Ukraine,2003-03-26
Derril,Gilder,2,64,Ukraine,2005-05-14
Maximo,McDonogh,2,47,Ukraine,2004-12-29
Jorge,Berzins,12,51,Ukraine,2005-07-07
Price,Geraudel,2,60,Germany,2008-06-20
Munroe,De Goey,6,54,Ukraine,2005-11-24
Sebastien,Coryndon,2,54,Israel,2008-05-07
Marijn,Dargavel,7,65,Ukraine,2008-06-12
Lewes,Fallawe,4,56,Ukraine,2007-04-09
Burgess,Pingston,11,42,Germany,2007-09-21
Lock,Aubin,9,45,Ukraine,2006-05-02
Valentin,Muff,11,66,Ukraine,2007-05-10
Charlton,Yanez,9,56,Ukraine,2007-08-18
Hermie,Scottini,2,43,Ukraine,2006-03-06
Boothe,Hunnybun,6,52,Ukraine,2003-11-27
Basil,Ledstone,10,63,Germany,2004-11-30
Thurston,Gell,13,51,Ukraine,2004-07-21
Tate,Davydzenko,6,46,Ukraine,2007-03-10
Vincents,Chalfant,12,56,Ukraine,2006-09-17
Craggie,Varren,13,48,Germany,2004-04-29
Octavius,Johannesson,8,49,Israel,2005-06-30
Zacherie,Guilder,1,60,Germany,2004-01-23
Jorgan,Loach,7,67,Ukraine,2003-12-12
Arvy,Frickey,1,61,Ukraine,2004-04-12
Brandtr,Bawcock,7,43,Ukraine,2003-07-24
Bartholomeo,Donohue,9,49,Ukraine,2003-09-13
Woody,Friary,9,68,Ukraine,2005-06-29
Nap,Shireff,10,61,Germany,2003-06-20
Beltran,Spurr,2,69,Ukraine,2005-07-07
Meir,Yonnie,9,46,Ukraine,2007-07-19
Thoma,Warden,6,43,Israel,2004-09-15
Saunders,Harling,6,41,Ukraine,2003-10-23
Gilburt,Wardrope,1,46,Ukraine,2005-12-15
Ivar,Hansel,11,61,Germany,2005-01-18
Tomlin,Aysh,1,67,Ukraine,2008-09-03
Pip,Willox,7,60,Ukraine,2008-04-05
Dennet,Moralas,8,68,Ukraine,2006-12-26
Jamison,Reeves,7,51,Ukraine,2004-07-30
Ephrem,Pavelka,9,66,Ukraine,2008-10-04
Inger,Myrtle,5,65,Germany,2005-04-18
Yurik,Tremathick,6,54,Ukraine,2005-12-28
Blaine,Tout,12,69,Ukraine,2006-01-30
Rem,Jopke,8,49,Ukraine,2007-04-05
Gabie,Farmloe,7,43,Israel,2005-03-23
Noble,Starten,1,52,Ukraine,2006-04-19
Egbert,Le Grand,4,60,Ukraine,2004-06-10
Portie,Varden,2,52,Ukraine,2005-08-22
Lon,Mellor,3,66,Germany,2006-10-07
Raphael,Joddens,3,67,Ukraine,2003-08-06
Raymond,Jados,7,61,Germany,2008-06-20
Darb,Kolis,10,61,Ukraine,2004-10-30
Arnaldo,Daoust,6,48,Ukraine,2006-04-13
Geordie,Ludlem,7,64,Ukraine,2007-05-01
Boycey,Boultwood,3,46,Ukraine,2004-01-27
Pepe,Hansed,2,46,Germany,2005-01-22
Ced,Strephan,3,44,Ukraine,2006-11-17
Hoyt,Alten,6,66,Ukraine,2003-11-05
Hamlin,Stanford,4,50,Ukraine,2006-10-03
Frederigo,Ewan,9,62,Ukraine,2007-05-31
Laughton,Gabbetis,13,46,Israel,2005-05-05
Orion,Bidewel,3,51,Israel,2004-05-23
Gardie,Speare,3,49,Ukraine,2005-02-24
Clerc,Corneck,13,40,Israel,2005-03-11
Ozzie,Thulborn,3,45,Ukraine,2006-07-30
Brandon,Blaby,5,44,Israel,2003-09-25
Dane,Forte,3,65,Ukraine,2004-12-05
Paxton,Norgate,13,49,Ukraine,2004-10-31
Merrick,Eggins,9,44,Germany,2007-12-24
Sylvan,Lippatt,10,45,Ukraine,2005-07-23
Corbet,Cruickshank,13,40,Ukraine,2003-09-03
Karlik,Vedenisov,3,52,Israel,2004-07-11
Samuel,Ponnsett,4,47,Germany,2004-08-15
Sebastien,Yanov,3,57,Germany,2005-01-10
Igor,Dignan,2,56,Ukraine,2005-08-30
Jamil,Tarbath,5,67,Ukraine,2006-08-20
Clayson,Poff,4,48,Israel,2004-08-18
Colman,Bondy,12,63,Ukraine,2005-05-06
Arnaldo,Ollier,1,62,Ukraine,2007-10-29
Isidro,Rathke,7,62,Ukraine,2003-02-24
Ferguson,Brightling,9,51,Ukraine,2007-04-19
Abran,Kearford,2,68,Germany,2004-10-10
Grange,Lincoln,7,51,Ukraine,2007-07-13
Ciro,Perrat,5,57,Ukraine,2004-07-31
Luciano,Gorce,4,44,Ukraine,2006-03-19
Ignaz,Stathor,2,66,Germany,2007-10-26
Tybalt,Laweles,12,63,Ukraine,2005-03-27
Sunny,Butter,6,47,Ukraine,2006-01-06
Blake,Geare,13,60,Ukraine,2005-11-02
Petey,Pollendine,5,40,Ukraine,2006-04-18
Jaymie,Mussotti,3,45,Ukraine,2003-01-12
Collin,Cluatt,7,49,Ukraine,2008-08-13
Elvyn,Robbings,10,48,Ukraine,2006-03-28
Domenico,Kilgour,10,44,Israel,2004-07-07
Thom,Rope,13,44,Ukraine,2003-01-28
Torin,Summerhayes,8,52,Ukraine,2003-07-29
Darn,Cissen,4,41,Ukraine,2008-11-03
Bail,Lethby,4,55,Ukraine,2006-02-04
Koenraad,Leupoldt,2,53,Germany,2008-03-02
Orion,Romeuf,2,66,Ukraine,2006-06-05
Tate,Terese,11,42,Germany,2004-01-12
Reuven,Stag,4,57,Ukraine,2006-06-20
Jarid,Strewthers,3,43,Germany,2005-07-11
Maynard,Phidgin,1,49,Ukraine,2008-02-22
Tamas,Beavis,7,69,Israel,2005-12-23
Maurits,Kynton,7,53,Ukraine,2007-12-03
Kendell,Pozer,4,62,Ukraine,2008-02-02
Vernen,Cudbertson,10,44,Germany,2003-01-04
Eugenius,Grundwater,12,45,Ukraine,2004-07-04
Maison,Paynes,2,54,Ukraine,2005-08-24
Mikey,Northam,4,63,Ukraine,2007-03-21
Jecho,Goom,10,51,Ukraine,2004-02-02
Stefano,Kincade,11,69,Ukraine,2005-12-30
Sanford,Buckthorpe,8,42,Germany,2006-01-24
Robbie,Westphalen,9,59,Germany,2003-06-30
